ws_id;awy;carbon;ed;shdi;forest_cover;anthropic_press;ndwi;lst;precip;area
18;77.60667179;2870;0;0;100;0;0.0239658821374178;29.9821453094482;1079.00952148438;0.987369843958318
61;94.58023262;1167.11108398438;0;0;0;0;0.0296021979302168;29.9345607757568;1049.41479492188;0.988459609597456
64;110.4928138;2687.33325195312;0;0;0;100;0.0293117053806782;29.8904724121094;1069.75720214844;0.987439636357984
106;113.3925008;3000;0;0;100;0;0.0357244722545147;29.7942867279053;1038.47631835938;0.988459026244702
33;118.1408637;2666.66674804688;0;0;100;0;0.0264787394553423;29.9663963317871;1073.40319824219;0.987617112113535
56;132.0763219;1088.88891601562;0;0;0;100;0.0286967605352402;29.9465675354004;1055.88354492188;0.988231169926375
36;141.8962111;2683.33325195312;0;0;100;0;0.0268955919891596;29.9656658172607;1069.04760742188;0.987793906194344
15;143.38996;3000;0;0;100;0;0.0242183338850737;30.0687103271484;1055.73950195312;0.988588847443048
117;144.2656951;2675.11108398438;0;0;0;100;0.0363449640572071;29.7768878936768;1044.04162597656;0.988153027325869
29;149.3454242;2645.33325195312;0;0;100;0;0.0262981094419956;30.0103244781494;1055.78479003906;0.988414883217256
41;160.9992376;1497.66662597656;0;0;100;0;0.0271948482841253;29.9848575592041;1056.37670898438;0.988311812787922
100;163.5566968;3000;0;0;100;0;0.0351054482161999;29.7988052368164;1052.82299804688;0.987840927507728
71;169.7010433;1545;0;0;100;0;0.0305110029876232;29.9262523651123;1039.55603027344;0.988820144509897
116;171.0805733;2763.33325195312;0;0;100;0;0.0363449640572071;29.7768878936768;1044.04162597656;0.98814336746133
114;171.0811307;2970;0;0;100;0;0.0363449640572071;29.7768878936768;1044.04162597656;0.988146587403491
112;171.0811314;2541.33325195312;0;0;100;0;0.0363449640572071;29.7768859863281;1044.04162597656;0.988146591035463
113;171.0816889;2082.66674804688;0;0;100;0;0.0363449640572071;29.7768878936768;1044.04162597656;0.988149810978863
82;180.6540534;1500;0;0;100;0;0.0320331119000912;29.8756790161133;1047.35668945312;0.988356354572251
54;201.0651686;1348.11108398438;50;0.693147180559945;0;50;0.0289232358336449;29.9300498962402;1061.81103515625;0.987948012893647
63;683.8859715;11766.6669921875;0;0;100;0;0.0296021997928619;29.9356136322021;1048.79443359375;3.95386418511607
103;1482.117092;28374;30;0.500402423538188;20;80;0.0354147404432297;29.7942810058594;1049.61767578125;9.87951211162508
